Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Risk_Simple,Risk_Score_100,High_Risk_Flag,Skill_Intensity
Security Guard,45795,28,Master's,0.18,1.28,0.85,High,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0,Alto,85.0,1,0.385
Research Scientist,133355,20,PhD,0.62,1.11,0.05,Low,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98,Bajo,5.0,0,0.426
Construction Worker,146216,2,High School,0.86,1.18,0.81,High,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83,Alto,81.0,1,0.451
Software Engineer,136530,13,PhD,0.39,0.68,0.6,Medium,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33,Medio,60.0,0,0.492
Financial Analyst,70397,22,High School,0.52,1.46,0.64,Medium,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42,Medio,64.0,0,0.465
AI Engineer,92592,11,Master's,0.29,0.51,0.1,Low,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37,Bajo,10.0,0,0.637
Mechanic,107373,23,PhD,0.67,1.09,0.41,Medium,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11,Medio,41.0,0,0.484
Teacher,53419,12,High School,0.2,1.4,0.17,Low,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88,Bajo,17.0,0,0.585
HR Specialist,139225,12,Master's,0.3,0.61,0.48,Medium,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0,Medio,48.0,0,0.415
Customer Support,85016,2,High School,0.01,1.01,0.8,High,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96,Alto,80.0,1,0.545
UX Researcher,82733,6,High School,0.5,0.8,0.41,Medium,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99,Medio,41.0,0,0.425
Financial Analyst,117455,22,High School,0.67,1.26,0.4,Medium,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04,Medio,40.0,0,0.438
